title_no,title_option,title
1,"[{'titleno': 'ti1', 'option': u'\u662f\u7684', 'value': '5'}, {'titleno': 'ti1', 'option': u'\u4ecb\u4e8eA\u3001C\u4e4b\u95f4', 'value': '2'}, {'titleno': 'ti1', 'option': u'\u4e0d\u662f\u7684', 'value': '0'}]",题1：我从不因流言蜚语而生气：________
2,"[{'titleno': 'ti2', 'option': u'\u662f\u7684', 'value': '5'}, {'titleno': 'ti2', 'option': u'\u4e0d\u592a\u786e\u5b9a', 'value': '2'}, {'titleno': 'ti2', 'option': u'\u4e0d\u662f\u7684', 'value': '0'}]",题2：我善于控制自己的面部表情：________
3,"[{'titleno': 'ti3', 'option': u'\u6781\u6613\u5165\u7761', 'value': '5'}, {'titleno': 'ti3', 'option': u'\u4ecb\u4e8eA\u3001C\u4e4b\u95f4', 'value': '2'}, {'titleno': 'ti3', 'option': u'\u4e0d\u6613\u5165\u7761', 'value': '0'}]",题3：在就寝时，我常常：________
4,"[{'titleno': 'ti4', 'option': u'\u4e0d\u9732\u58f0\u8272', 'value': '5'}, {'titleno': 'ti4', 'option': u'\u4ecb\u4e8eA\u3001C\u4e4b\u95f4', 'value': '2'}, {'titleno': 'ti4', 'option': u'\u5927\u58f0\u6297\u8bae\uff0c\u4ee5\u6cc4\u5df1\u6124', 'value': '0'}]",题4：人侵扰我时，我：________
5,"[{'titleno': 'ti5', 'option': u'\u4e0d\u662f\u7684', 'value': '5'}, {'titleno': 'ti5', 'option': u'\u4ecb\u4e8eA\u3001C\u4e4b\u95f4', 'value': '2'}, {'titleno': 'ti5', 'option': u'\u662f\u7684', 'value': '0'}]",题5：在和人争辨或工作出现失误后，我常常感到震颤，精疲力竭，而不能继续安心工作：__________
6,"[{'titleno': 'ti6', 'option': u'\u4e0d\u662f\u7684', 'value': '5'}, {'titleno': 'ti6', 'option': u'\u4ecb\u4e8eA\u3001C\u4e4b\u95f4', 'value': '2'}, {'titleno': 'ti6', 'option': u'\u662f\u7684', 'value': '0'}]",题6：我常常被一些无谓的小事困扰：________
7,"[{'titleno': 'ti7', 'option': u'\u4e0d\u662f\u7684', 'value': '5'}, {'titleno': 'ti7', 'option': u'\u4e0d\u592a\u786e\u5b9a', 'value': '2'}, {'titleno': 'ti7', 'option': u'\u662f\u7684', 'value': '0'}]",题7：我宁愿住在僻静的郊区，也不愿住在嘈杂的市区：________
8,"[{'titleno': 'ti8', 'option': u'\u662f\u7684', 'value': '6'}, {'titleno': 'ti8', 'option': u'\u4e0d\u4e00\u5b9a', 'value': '3'}, {'titleno': 'ti8', 'option': u'\u4e0d\u662f\u7684', 'value': '0'}]",题8：我有能力克服各种困难：________
9,"[{'titleno': 'ti9', 'option': u'\u548c\u4ece\u524d\u76f8\u4eff', 'value': '6'}, {'titleno': 'ti9', 'option': u'\u4e0d\u4e00\u5b9a', 'value': '3'}, {'titleno': 'ti9', 'option': u'\u548c\u4ece\u524d\u4e0d\u4e00\u6837', 'value': '0'}]",题9：如果我能到一个新的环境，我要把生活安排得：________
10,"[{'titleno': 'ti10', 'option': u'\u662f\u7684', 'value': '6'}, {'titleno': 'ti10', 'option': u'\u4e0d\u4e00\u5b9a', 'value': '3'}, {'titleno': 'ti10', 'option': u'\u4e0d\u662f\u7684', 'value': '0'}]",题10：一生中，我觉得自已能达到我所预想的目标：________
11,"[{'titleno': 'ti11', 'option': u'\u4e0d\u662f\u7684', 'value': '6'}, {'titleno': 'ti11', 'option': u'\u4e0d\u4e00\u5b9a', 'value': '3'}, {'titleno': 'ti11', 'option': u'\u662f\u7684', 'value': '0'}]",题11：不知为什么，有些人总是回避或冷淡我：________
12,"[{'titleno': 'ti12', 'option': u'\u4ece\u672a\u5982\u6b64', 'value': '6'}, {'titleno': 'ti12', 'option': u'\u5076\u5c14\u5982\u6b64', 'value': '3'}, {'titleno': 'ti12', 'option': u'\u6709\u65f6\u5982\u6b64', 'value': '0'}]",题12：在大街上，我常常避开我不愿打招呼的人：________
13,"[{'titleno': 'ti13', 'option': u'\u6211\u4ecd\u80fd\u4e13\u5fc3\u5de5\u4f5c', 'value': '6'}, {'titleno': 'ti13', 'option': u'\u4ecb\u4e8eA\u3001C\u4e4b\u95f4', 'value': '3'}, {'titleno': 'ti13', 'option': u'\u6211\u4e0d\u80fd\u4e13\u5fc3\u4e14\u611f\u5230\u6124\u6012', 'value': '0'}]",题13：当我集中精力工作时，假使有人在旁边高谈阔论：________
14,"[{'titleno': 'ti14', 'option': u'\u662f\u7684', 'value': '6'}, {'titleno': 'ti14', 'option': u'\u4e0d\u4e00\u5b9a', 'value': '3'}, {'titleno': 'ti14', 'option': u'\u4e0d\u662f\u7684', 'value': '0'}]",题14：我不论到什么地方，都能清楚地辨别方向：________
15,"[{'titleno': 'ti15', 'option': u'\u662f\u7684', 'value': '6'}, {'titleno': 'ti15', 'option': u'\u4e0d\u4e00\u5b9a', 'value': '3'}, {'titleno': 'ti15', 'option': u'\u4e0d\u662f\u7684', 'value': '0'}]",题15：我热爱所学的专业和所从事的工作：________
16,"[{'titleno': 'ti16', 'option': u'\u662f\u7684', 'value': '6'}, {'titleno': 'ti16', 'option': u'\u4ecb\u4e8eA\u3001C\u4e4b\u95f4', 'value': '3'}, {'titleno': 'ti16', 'option': u'\u4e0d\u662f\u7684', 'value': '0'}]",题16：气候的变化不会影响我的情绪：________
17,"[{'titleno': 'ti17', 'option': u'\u4ece\u6765\u6ca1\u6709', 'value': '5'}, {'titleno': 'ti17', 'option': u'\u5076\u5c14\u6709\u8fc7', 'value': '2'}, {'titleno': 'ti17', 'option': u'\u8fd9\u662f\u5e38\u6709\u7684\u4e8b', 'value': '0'}]",题17：我被朋友、同事起过绰号、挖苦过：________
18,"[{'titleno': 'ti18', 'option': u'\u6ca1\u6709', 'value': '5'}, {'titleno': 'ti18', 'option': u'\u8bb0\u4e0d\u6e05', 'value': '2'}, {'titleno': 'ti18', 'option': u'\u6709', 'value': '0'}]",题18：有一种食物使我吃后呕吐：________
19,"[{'titleno': 'ti19', 'option': u'\u6ca1\u6709', 'value': '5'}, {'titleno': 'ti19', 'option': u'\u8bb0\u4e0d\u6e05', 'value': '2'}, {'titleno': 'ti19', 'option': u'\u6709', 'value': '0'}]",题19：除去看见的世界外，我的心中没有另外的世界：________
20,"[{'titleno': 'ti20', 'option': u'\u6765\u6ca1\u6709\u60f3\u8fc7', 'value': '5'}, {'titleno': 'ti20', 'option': u'\u5076\u5c14\u60f3\u5230\u8fc7', 'value': '2'}, {'titleno': 'ti20', 'option': u'\u7ecf\u5e38\u60f3\u5230', 'value': '0'}]",题20：我会想到若干年后有什么使自己极为不安的事：________
21,"[{'titleno': 'ti21', 'option': u'\u5426', 'value': '5'}, {'titleno': 'ti21', 'option': u'\u8bf4\u4e0d\u6e05\u695a', 'value': '2'}, {'titleno': 'ti21', 'option': u'\u662f', 'value': '0'}]",题21：我常常觉得自己的家庭对自己不好，但是我又确切地知道他们的确对我好：________
22,"[{'titleno': 'ti22', 'option': u'\u5426', 'value': '5'}, {'titleno': 'ti22', 'option': u'\u4e0d\u6e05\u695a', 'value': '2'}, {'titleno': 'ti22', 'option': u'\u662f', 'value': '0'}]",题22：每天我一回家就立刻把门关上：________
23,"[{'titleno': 'ti23', 'option': u'\u5426', 'value': '5'}, {'titleno': 'ti23', 'option': u'\u5076\u5c14\u662f', 'value': '2'}, {'titleno': 'ti23', 'option': u'\u662f', 'value': '0'}]",题23：我坐在小房间里把门关上，但我仍觉得心里不安：________
24,"[{'titleno': 'ti24', 'option': u'\u5426', 'value': '5'}, {'titleno': 'ti24', 'option': u'\u5076\u5c14\u662f', 'value': '2'}, {'titleno': 'ti24', 'option': u'\u662f', 'value': '0'}]",题24：当一件事需要我作决定时，我常觉得很难：________
25,"[{'titleno': 'ti25', 'option': u'\u5426', 'value': '5'}, {'titleno': 'ti25', 'option': u'\u5076\u5c14\u662f', 'value': '2'}, {'titleno': 'ti25', 'option': u'\u662f', 'value': '0'}]",题25：我常常用抛硬币、翻纸、抽签之类的游戏来预测凶吉：________
26,"[{'titleno': 'ti26', 'option': u'\u662f', 'value': '0'}, {'titleno': 'ti26', 'option': u'\u5426', 'value': '5'}]",题26：为了工作我早出晚归，早晨起床我常常感到疲惫不堪：
27,"[{'titleno': 'ti27', 'option': u'\u662f', 'value': '0'}, {'titleno': 'ti27', 'option': u'\u5426', 'value': '5'}]","题27：在某种心境下,我会因为困惑陷入空想,将工作搁置下来:"
28,"[{'titleno': 'ti28', 'option': u'\u662f', 'value': '0'}, {'titleno': 'ti28', 'option': u'\u5426', 'value': '5'}]","题28：我的神经脆弱,稍有刺激就会使我战栗:"
29,"[{'titleno': 'ti29', 'option': u'\u662f', 'value': '0'}, {'titleno': 'ti29', 'option': u'\u5426', 'value': '5'}]","题29：睡梦中,我常常被噩梦惊醒："
30,"[{'titleno': 'ti30', 'option': u'\u4ece\u4e0d', 'value': '1'}, {'titleno': 'ti30', 'option': u'\u51e0\u4e4e\u4e0d', 'value': '2'}, {'titleno': 'ti30', 'option': u'\u4e00\u534a\u65f6\u95f4', 'value': '3'}, {'titleno': 'ti30', 'option': u'\u5927\u591a\u6570\u65f6\u95f4', 'value': '4'}, {'titleno': 'ti30', 'option': u'\u603b\u662f', 'value': '5'}]",题30：工作中我愿意挑战艰巨的任务。
31,"[{'titleno': 'ti31', 'option': u'\u4ece\u4e0d', 'value': '1'}, {'titleno': 'ti31', 'option': u'\u51e0\u4e4e\u4e0d', 'value': '2'}, {'titleno': 'ti31', 'option': u'\u4e00\u534a\u65f6\u95f4', 'value': '3'}, {'titleno': 'ti31', 'option': u'\u5927\u591a\u6570\u65f6\u95f4', 'value': '4'}, {'titleno': 'ti31', 'option': u'\u603b\u662f', 'value': '5'}]",题31：我常发现别人好的意愿。
32,"[{'titleno': 'ti32', 'option': u'\u4ece\u4e0d', 'value': '1'}, {'titleno': 'ti32', 'option': u'\u51e0\u4e4e\u4e0d', 'value': '2'}, {'titleno': 'ti32', 'option': u'\u4e00\u534a\u65f6\u95f4', 'value': '3'}, {'titleno': 'ti32', 'option': u'\u5927\u591a\u6570\u65f6\u95f4', 'value': '4'}, {'titleno': 'ti32', 'option': u'\u603b\u662f', 'value': '5'}]",题32：能听取不同的意见，包括对自己的批评。
33,"[{'titleno': 'ti33', 'option': u'\u4ece\u4e0d', 'value': '1'}, {'titleno': 'ti33', 'option': u'\u51e0\u4e4e\u4e0d', 'value': '2'}, {'titleno': 'ti33', 'option': u'\u4e00\u534a\u65f6\u95f4', 'value': '3'}, {'titleno': 'ti33', 'option': u'\u5927\u591a\u6570\u65f6\u95f4', 'value': '4'}, {'titleno': 'ti33', 'option': u'\u603b\u662f', 'value': '5'}]",题33：我时常勉励自己，对未来充满希望。
