title_no,title_image,title_option,title
1,,"[{'titleno': 'TI1', 'option': u'221221122', 'value': 'V1'}, {'titleno': 'TI1', 'option': u'22112122', 'value': 'V2'}, {'titleno': 'TI1', 'option': u'22112112', 'value': 'V3'}, {'titleno': 'TI1', 'option': u'112212211', 'value': 'V4'}, {'titleno': 'TI1', 'option': '212211212', 'value': 'V5'}]","1．五个答案中哪一个是最好的类比?
        工工人人人工人人工对于221112112；相当于工工人人工人人工对于"
2,,"[{'titleno': 'TI2', 'option': u'\u94dd', 'value': 'V1'}, {'titleno': 'TI2', 'option': u'\u9521', 'value': 'V2'}, {'titleno': 'TI2', 'option': u'\u94a2', 'value': 'V3'}, {'titleno': 'TI2', 'option': u'\u94c1', 'value': 'V4'}, {'titleno': 'TI2', 'option': u'\u94dc', 'value': 'V5'}]",2．找出与众不同的一个：
3,http://www.iqeq.com.cn/img/03.gif,"[{'titleno': 'TI3', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI3', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI3', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI3', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI3', 'option': 'E', 'value': 'V5'}]",3．五个答案中哪一个是最好的类比?
4,http://www.iqeq.com.cn/img/04.gif,"[{'titleno': 'TI4', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI4', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI4', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI4', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI4', 'option': 'E', 'value': 'V5'}]",4．找出与众不同的一个：
5,,"[{'titleno': 'TI5', 'option': u'15\u4eba', 'value': 'V1'}, {'titleno': 'TI5', 'option': u'25\u4eba', 'value': 'V2'}, {'titleno': 'TI5', 'option': u'29\u4eba', 'value': 'V3'}, {'titleno': 'TI5', 'option': u'30\u4eba', 'value': 'V4'}, {'titleno': 'TI5', 'option': u'31\u4eba', 'value': 'V5'}]",5．全班学生排成一行，从左数和从右数小明都是第15名，问全班共有学生多少人?
6,http://www.iqeq.com.cn/img/06.gif,"[{'titleno': 'TI6', 'option': 'A', 'value': 'V1'}, {'titleno': 'TI6', 'option': 'B', 'value': 'V2'}, {'titleno': 'TI6', 'option': 'C', 'value': 'V3'}, {'titleno': 'TI6', 'option': 'D', 'value': 'V4'}, {'titleno': 'TI6', 'option': 'E', 'value': 'V5'}, {'titleno': 'TI6', 'option': 'F', 'value': 'V6'}]","6．一个立方体的六面，分别写着A、 B、 C、 
      D、E、F六个字母，根据以下四张图，推测B的对面是什么字母"
7,,"[{'titleno': 'TI7', 'option': u'\u6b63\u786e', 'value': 'V1'}, {'titleno': 'TI7', 'option': u'\u660e\u786e', 'value': 'V2'}, {'titleno': 'TI7', 'option': u'\u4fe1\u5fc3', 'value': 'V3'}, {'titleno': 'TI7', 'option': u'\u80af\u5b9a', 'value': 'V4'}, {'titleno': 'TI7', 'option': u'\u771f\u5b9e', 'value': 'V5'}]",7．找出与“确信”意义相同或意义最相近的词：
8,,"[{'titleno': 'TI8', 'option': u'\u8098', 'value': 'V1'}, {'titleno': 'TI8', 'option': u'\u819d', 'value': 'V2'}, {'titleno': 'TI8', 'option': u'\u811a\u8dbe', 'value': 'V3'}, {'titleno': 'TI8', 'option': u'\u624b\u6307', 'value': 'V4'}, {'titleno': 'TI8', 'option': u'\u81c2', 'value': 'V5'}]","8．五个答案中哪一个是最好的类比？
       脚对于手相当于腿对于"
9,http://www.iqeq.com.cn/img/09.gif,"[{'titleno': 'TI9', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI9', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI9', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI9', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI9', 'option': 'E', 'value': 'V5'}]",9．五个答案中哪一个是最好的类比：
10,,"[{'titleno': 'TI10', 'option': u'\u5bf9\u7684', 'value': 'V1'}, {'titleno': 'TI10', 'option': u'\u9519\u7684', 'value': 'V2'}, {'titleno': 'TI10', 'option': u'\u65e2\u4e0d\u5bf9\u4e5f\u4e0d\u9519', 'value': 'V3'}]",10．如果所有的甲都是乙，没有一个乙是丙，那么，“一定没有一个丙是甲”。这句话是
11,,"[{'titleno': 'TI11', 'option': u'1', 'value': 'V1'}, {'titleno': 'TI11', 'option': u'3', 'value': 'V2'}, {'titleno': 'TI11', 'option': u'5', 'value': 'V3'}, {'titleno': 'TI11', 'option': u'7', 'value': 'V4'}, {'titleno': 'TI11', 'option': u'11', 'value': 'V5'}, {'titleno': 'TI11', 'option': u'13', 'value': 'V6'}, {'titleno': 'TI11', 'option': u'15', 'value': 'V7'}, {'titleno': 'TI11', 'option': '17', 'value': 'V8'}]",11．找出下列数字中特殊的一个：
12,http://www.iqeq.com.cn/img/12.gif,"[{'titleno': 'TI12', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI12', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI12', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI12', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI12', 'option': 'E', 'value': 'V5'}]",12．找出与众不同的一个：
13,,"[{'titleno': 'TI13', 'option': u'\u5c0f\u7ea2\u6bd4\u5c0f\u5f3a\u5927', 'value': 'V1'}, {'titleno': 'TI13', 'option': u'\u5c0f\u7ea2\u6bd4\u5c0f\u5f3a\u5c0f', 'value': 'V2'}, {'titleno': 'TI13', 'option': u'\u5c0f\u7ea2\u4e0e\u5c0f\u5f3a\u4e00\u6837\u5927', 'value': 'V3'}, {'titleno': 'TI13', 'option': u'\u65e0\u6cd5\u786e\u5b9a\u5c0f\u7ea2\u4e0e\u5c0f\u5f3a\u8c01\u5927', 'value': 'V4'}]",13．小明比小强大，小红比小明小。下列陈述中哪一句最正确?
14,http://www.iqeq.com.cn/img/14.gif,"[{'titleno': 'TI14', 'option': u'A', 'value': 'V1'}, {'titleno': 'TI14', 'option': u'B', 'value': 'V2'}, {'titleno': 'TI14', 'option': u'C', 'value': 'V3'}, {'titleno': 'TI14', 'option': u'D', 'value': 'V4'}, {'titleno': 'TI14', 'option': 'E', 'value': 'V5'}]",14．找出与众不同的一个：
15,,"[{'titleno': 'TI15', 'option': u'2368', 'value': 'V1'}, {'titleno': 'TI15', 'option': u'6283', 'value': 'V2'}, {'titleno': 'TI15', 'option': u'2683', 'value': 'V3'}, {'titleno': 'TI15', 'option': u'6328', 'value': 'V4'}, {'titleno': 'TI15', 'option': '3628', 'value': 'V5'}]","15．五个答案中哪一个是最好的类比?
         
        “预杉”对于“须杼”相当于8326对于"
16,,"[{'titleno': 'TI16', 'option': u'1\u5206\u7684', 'value': 'V1'}, {'titleno': 'TI16', 'option': u'2\u5206\u7684', 'value': 'V2'}, {'titleno': 'TI16', 'option': u'5\u5206\u7684', 'value': 'V3'}]",16．小明有12枚硬币，共3角6分钱。其中有5枚硬币是一样的，那么这五枚一定是：
17,,"[{'titleno': 'TI17', 'option': u'\u516c\u91cc', 'value': 'V1'}, {'titleno': 'TI17', 'option': u'\u82f1\u65f6', 'value': 'V2'}, {'titleno': 'TI17', 'option': u'\u4ea9', 'value': 'V3'}, {'titleno': 'TI17', 'option': u'\u4e08', 'value': 'V4'}, {'titleno': 'TI17', 'option': u'\u7c73', 'value': 'V5'}]",17．找出与众不同的一个
